법정동코드,법정동명
2900000000,광주광역시
2911000000,광주광역시 동구
2911010100,광주광역시 동구 대인동
2911010200,광주광역시 동구 금남로5가
2911010300,광주광역시 동구 충장로5가
2911010400,광주광역시 동구 수기동
2911010500,광주광역시 동구 대의동
2911010600,광주광역시 동구 궁동
2911010700,광주광역시 동구 장동
2911010800,광주광역시 동구 동명동
2911010900,광주광역시 동구 계림동
2911011000,광주광역시 동구 산수동
2911011100,광주광역시 동구 지산동
2911011200,광주광역시 동구 남동
2911011300,광주광역시 동구 광산동
2911011400,광주광역시 동구 금동
2911011500,광주광역시 동구 호남동
2911011600,광주광역시 동구 불로동
2911011700,광주광역시 동구 황금동
2911011800,광주광역시 동구 서석동
2911011900,광주광역시 동구 소태동
2911012000,광주광역시 동구 용연동
2911012100,광주광역시 동구 운림동
2911012200,광주광역시 동구 학동
2911012300,광주광역시 동구 월남동
2911012400,광주광역시 동구 선교동
2911012500,광주광역시 동구 내남동
2911012600,광주광역시 동구 용산동
2911012700,광주광역시 동구 충장로1가
2911012800,광주광역시 동구 충장로2가
2911012900,광주광역시 동구 충장로3가
2911013000,광주광역시 동구 충장로4가
2911013100,광주광역시 동구 금남로1가
2911013200,광주광역시 동구 금남로2가
2911013300,광주광역시 동구 금남로3가
2911013400,광주광역시 동구 금남로4가
2914000000,광주광역시 서구
2914010400,광주광역시 서구 양동
2914010600,광주광역시 서구 농성동
2914011500,광주광역시 서구 광천동
2914011600,광주광역시 서구 유촌동
2914011700,광주광역시 서구 덕흥동
2914011800,광주광역시 서구 쌍촌동
2914011900,광주광역시 서구 화정동
2914012000,광주광역시 서구 치평동
2914012100,광주광역시 서구 내방동
2914012500,광주광역시 서구 서창동
2914012600,광주광역시 서구 세하동
2914012700,광주광역시 서구 용두동
2914012800,광주광역시 서구 풍암동
2914012900,광주광역시 서구 벽진동
2914013000,광주광역시 서구 금호동
2914013100,광주광역시 서구 마륵동
2914013200,광주광역시 서구 매월동
2914013300,광주광역시 서구 동천동
2915500000,광주광역시 남구
2915510100,광주광역시 남구 사동
2915510200,광주광역시 남구 구동
2915510300,광주광역시 남구 서동
2915510400,광주광역시 남구 월산동
2915510500,광주광역시 남구 백운동
2915510600,광주광역시 남구 주월동
2915510700,광주광역시 남구 노대동
2915510800,광주광역시 남구 진월동
2915510900,광주광역시 남구 덕남동
2915511000,광주광역시 남구 행암동
2915511100,광주광역시 남구 임암동
2915511200,광주광역시 남구 송하동
2915511300,광주광역시 남구 양림동
2915511400,광주광역시 남구 방림동
2915511500,광주광역시 남구 봉선동
2915511600,광주광역시 남구 구소동
2915511700,광주광역시 남구 양촌동
2915511800,광주광역시 남구 도금동
2915511900,광주광역시 남구 승촌동
2915512000,광주광역시 남구 지석동
2915512100,광주광역시 남구 압촌동
2915512200,광주광역시 남구 화장동
2915512300,광주광역시 남구 칠석동
2915512400,광주광역시 남구 석정동
2915512500,광주광역시 남구 신장동
2915512600,광주광역시 남구 양과동
2915512700,광주광역시 남구 이장동
2915512800,광주광역시 남구 대지동
2915512900,광주광역시 남구 원산동
2915513000,광주광역시 남구 월성동
2917000000,광주광역시 북구
2917010100,광주광역시 북구 중흥동
2917010200,광주광역시 북구 유동
2917010300,광주광역시 북구 누문동
2917010400,광주광역시 북구 북동
2917010500,광주광역시 북구 임동
2917010600,광주광역시 북구 신안동
2917010700,광주광역시 북구 용봉동
2917010800,광주광역시 북구 동림동
2917010900,광주광역시 북구 운암동
2917011000,광주광역시 북구 우산동
2917011100,광주광역시 북구 풍향동
2917011200,광주광역시 북구 문흥동
2917011300,광주광역시 북구 각화동
2917011400,광주광역시 북구 두암동
2917011500,광주광역시 북구 오치동
2917011600,광주광역시 북구 삼각동
2917011700,광주광역시 북구 매곡동
2917011800,광주광역시 북구 충효동
2917011900,광주광역시 북구 덕의동
2917012000,광주광역시 북구 금곡동
2917012100,광주광역시 북구 망월동
2917012200,광주광역시 북구 청풍동
2917012300,광주광역시 북구 화암동
2917012400,광주광역시 북구 장등동
2917012500,광주광역시 북구 운정동
2917012600,광주광역시 북구 본촌동
2917012700,광주광역시 북구 일곡동
2917012800,광주광역시 북구 양산동
2917012900,광주광역시 북구 연제동
2917013000,광주광역시 북구 신용동
2917013100,광주광역시 북구 용두동
2917013200,광주광역시 북구 지야동
2917013300,광주광역시 북구 태령동
2917013400,광주광역시 북구 수곡동
2917013500,광주광역시 북구 효령동
2917013600,광주광역시 북구 용전동
2917013700,광주광역시 북구 용강동
2917013800,광주광역시 북구 생용동
2917013900,광주광역시 북구 월출동
2917014000,광주광역시 북구 대촌동
2917014100,광주광역시 북구 오룡동
2920000000,광주광역시 광산구
2920010100,광주광역시 광산구 송정동
2920010200,광주광역시 광산구 도산동
2920010300,광주광역시 광산구 도호동
2920010400,광주광역시 광산구 신촌동
2920010500,광주광역시 광산구 서봉동
2920010600,광주광역시 광산구 운수동
2920010700,광주광역시 광산구 선암동
2920010800,광주광역시 광산구 소촌동
2920010900,광주광역시 광산구 우산동
2920011000,광주광역시 광산구 황룡동
2920011100,광주광역시 광산구 박호동
2920011200,광주광역시 광산구 비아동
2920011300,광주광역시 광산구 도천동
2920011400,광주광역시 광산구 수완동
2920011500,광주광역시 광산구 월계동
2920011600,광주광역시 광산구 쌍암동
2920011700,광주광역시 광산구 산월동
2920011800,광주광역시 광산구 신창동
2920011900,광주광역시 광산구 신가동
2920012000,광주광역시 광산구 운남동
2920012100,광주광역시 광산구 안청동
2920012200,광주광역시 광산구 진곡동
2920012300,광주광역시 광산구 장덕동
2920012400,광주광역시 광산구 흑석동
2920012500,광주광역시 광산구 하남동
2920012600,광주광역시 광산구 장수동
2920012700,광주광역시 광산구 산정동
2920012800,광주광역시 광산구 월곡동
2920012900,광주광역시 광산구 등임동
2920013000,광주광역시 광산구 산막동
2920013100,광주광역시 광산구 고룡동
2920013200,광주광역시 광산구 신룡동
2920013300,광주광역시 광산구 두정동
2920013400,광주광역시 광산구 임곡동
2920013500,광주광역시 광산구 광산동
2920013600,광주광역시 광산구 오산동
2920013700,광주광역시 광산구 사호동
2920013800,광주광역시 광산구 하산동
2920013900,광주광역시 광산구 유계동
2920014000,광주광역시 광산구 본덕동
2920014100,광주광역시 광산구 용봉동
2920014200,광주광역시 광산구 요기동
2920014300,광주광역시 광산구 복룡동
2920014400,광주광역시 광산구 송대동
2920014500,광주광역시 광산구 옥동
2920014600,광주광역시 광산구 월전동
2920014700,광주광역시 광산구 장록동
2920014800,광주광역시 광산구 송촌동
2920014900,광주광역시 광산구 지죽동
2920015000,광주광역시 광산구 용동
2920015100,광주광역시 광산구 용곡동
2920015200,광주광역시 광산구 지정동
2920015300,광주광역시 광산구 명화동
2920015400,광주광역시 광산구 동산동
2920015500,광주광역시 광산구 연산동
2920015600,광주광역시 광산구 도덕동
2920015700,광주광역시 광산구 송산동
2920015800,광주광역시 광산구 지평동
2920015900,광주광역시 광산구 오운동
2920016000,광주광역시 광산구 삼거동
2920016100,광주광역시 광산구 양동
2920016200,광주광역시 광산구 내산동
2920016300,광주광역시 광산구 대산동
2920016400,광주광역시 광산구 송학동
2920016500,광주광역시 광산구 신동
2920016600,광주광역시 광산구 삼도동
2920016700,광주광역시 광산구 남산동
2920016800,광주광역시 광산구 송치동
2920016900,광주광역시 광산구 산수동
2920017000,광주광역시 광산구 선동
2920017100,광주광역시 광산구 지산동
2920017200,광주광역시 광산구 왕동
2920017300,광주광역시 광산구 북산동
2920017400,광주광역시 광산구 명도동
2920017500,광주광역시 광산구 동호동
2920017600,광주광역시 광산구 덕림동
2920017700,광주광역시 광산구 양산동
2920017800,광주광역시 광산구 동림동
2920020200,광주광역시 광산구 오선동
